lat,lon
52.3640618,4.855153
52.3784456,4.8844536
52.3698566,4.8819811
52.368,4.871
52.3750358,4.8813405
52.3593741,4.8608611
52.3794724,4.8806733
52.3686458,4.8813577
52.3619996,4.8642915
52.3706035,4.8526426
52.3706571,4.8706443
52.3786659,4.8839935
52.375054,4.8726341
52.3782914,4.8819146
52.3698778,4.8820499
52.3594762,4.8612551
52.3695741,4.8516426
52.3672623,4.8718715
52.3670675,4.8711193
52.3782364,4.8834555
52.3803326,4.8822843
52.361334,4.8626119
52.360962,4.8611643
52.36026,4.8628271
52.360619,4.8612696
52.3609903,4.8625677
52.3591999,4.8647759
52.3767552,4.8823246
52.3743481,4.8730425
52.3690162,4.8512723
52.369863,4.8506183
52.3697389,4.8496044
52.3700812,4.8514457
52.3712507,4.8526367
52.3807807,4.8873628
52.3780101,4.8834211
52.3699774,4.8822993
52.3693392,4.8806778
52.3780792,4.8808457
52.3695146,4.8797145
52.3615169,4.8645998
52.3720572,4.8765284
52.3627252,4.8527526
52.3708351,4.8560308
52.374508,4.8742462
52.3607179,4.8565034
52.3703579,4.8707483
52.3778982,4.8855738
52.3712791,4.8620491
52.3722193,4.8752152
52.374158,4.8726931
52.3725132,4.8761591
52.3694252,4.879283
52.3693696,4.879448
52.3691986,4.8788095
52.3679551,4.8741705
52.3745293,4.8811906
52.3644752,4.8557034
52.3662007,4.8823021
52.3715612,4.8736969
52.3718427,4.8749777
52.3715884,4.8738348
52.3725339,4.8760358
52.3729248,4.8757394
52.374901,4.8766421
52.3690601,4.8784586
52.370437,4.8535558
52.3707898,4.8533459
52.3710583,4.8571118
52.3707517,4.8532004
52.37084,4.8537803
52.367966,4.8792328
52.3641238,4.8541096
52.3641187,4.8539571
52.3640864,4.8537511
52.3638486,4.8535088
52.3780972,4.8809301
52.3767194,4.8841388
52.3693538,4.8551692
52.3787631,4.8844086
52.3602705,4.8647079
52.3752102,4.8808005
52.3757295,4.8825261
52.3757377,4.8825985
52.3710702,4.8824419
52.380775,4.8841792
52.3798108,4.8808038
52.3733707,4.8799679
52.3733887,4.8800537
52.3735835,4.8809013
52.3737202,4.8814116
52.3734149,4.8802066
52.3737571,4.8816095
52.3736441,4.8811373
52.373749,4.8815241
52.3735147,4.8806118
52.3737931,4.8816805
52.3736988,4.8812997
52.3735655,4.880794
52.3786866,4.8858021
52.3771754,4.8819382
52.3783396,4.8839042
52.3769511,4.8820991
52.373391,4.8793053
52.3746893,4.8814941
52.3795883,4.8813564
52.3728406,4.8791415
52.372808,4.879009
52.3693004,4.8790616
52.3742612,4.8727615
52.3748,4.8733
52.3707262,4.8630949
52.3625114,4.8639573
52.362435,4.8640063
52.3624708,4.8639832
52.3625904,4.8639037
52.3616445,4.8645147
52.3615994,4.8645422
52.3625617,4.8639276
52.3595183,4.8614149
52.3594577,4.8611695
52.3594118,4.8609912
52.3595365,4.8616098
52.3597871,4.8599718
52.35998,4.8633667
52.3597068,4.8637435
52.370287,4.8802861
52.3702093,4.8819671
52.369534,4.8798647
52.3693255,4.8710224
52.3703842,4.851345
52.3677493,4.8721301
52.3681202,4.8791123
52.3728915,4.8780769
52.3801539,4.8853391
52.366213,4.8813746
52.3717498,4.8792844
52.3713243,4.8617903
52.3804606,4.8879944
52.3813066,4.8795506
52.3813021,4.8855063
52.3799011,4.8859341
52.3811434,4.8854439
52.3693957,4.8509981
52.3657852,4.8604681
52.3722133,4.8765783
52.3619264,4.8517996
52.3620924,4.8535912
52.3683619,4.8756747
52.3761561,4.8840094
52.3806598,4.8845236
52.3770366,4.881768
52.3801502,4.8876166
52.3803777,4.8879425
52.3802441,4.8878026
52.3700464,4.8494195
52.3712996,4.858654
52.3810565,4.8869337
52.3814204,4.8852774
52.3822033,4.8833269
52.3805948,4.8861605
52.3785514,4.8832757
52.3785147,4.8830999
52.3771526,4.8819405
52.3783767,4.8823525
52.3779678,4.8834292
52.3782674,4.8818318
52.379737,4.8824929
52.3769007,4.8818993
52.3781746,4.8813414
52.3780185,4.8804469
52.3764435,4.8821689
52.3788945,4.8852585
52.3788579,4.8850906
52.3780993,4.883358
52.3768248,4.8819791
52.3770744,4.8848886
52.374086,4.8815202
52.3730856,4.8787709
52.3750541,4.8830217
52.3729576,4.878229
52.3745405,4.882748
52.3760284,4.8838771
52.374266,4.8815769
52.3740192,4.8804611
52.3733146,4.8797815
52.369493,4.8798
52.3736506,4.8822994
52.3736685,4.8826702
52.370691,4.8799586
52.3724075,4.8820386
52.3735577,4.8819961
52.3724816,4.8825517
52.3724277,4.882567
52.3720139,4.8825126
52.3705835,4.8800624
52.3699089,4.8820968
52.3692319,4.854705
52.3736855,4.8824499
52.3736782,4.8823934
52.3722773,4.8810122
52.3696592,4.8802783
52.3736633,4.8823475
52.3730732,4.880078
52.3657975,4.8801008
52.3659956,4.8816316
52.3716079,4.8758216
52.3694571,4.8772707
52.3725169,4.8761195
52.3662592,4.8594907
52.3805171,4.8856647
52.3692297,4.8705185
52.3717771,4.8733527
52.3684962,4.8715759
52.3690964,4.8705087
52.3689303,4.869803
52.3684089,4.8759444
52.3712089,4.8708777
52.3710163,4.869999
52.370154,4.8701555
52.3691159,4.871137
52.3798818,4.8770334
52.3743796,4.8744976
52.3785962,4.8741366
52.3742099,4.8727225
52.3733807,4.8721888
52.3741461,4.87442
52.3626378,4.8638711
52.3623344,4.8618788
52.3602998,4.8631507
52.3597128,4.8582555
52.3580105,4.8556764
52.3595306,4.8599448
52.35909,4.8598914
52.3584073,4.8573145
52.3573175,4.8554646
52.3566841,4.8554076
52.3598931,4.8646822
52.3597916,4.8640816
52.3704337,4.8516093
52.372668,4.8494805
52.3711425,4.8557392
52.3711241,4.8556659
52.3711146,4.8555777
52.3716666,4.8625465
52.3748842,4.8625378
52.3719296,4.863145
52.374938,4.8625225
52.3749376,4.8624344
52.3749283,4.8623611
52.3749278,4.8622436
52.3748916,4.8621853
52.3748729,4.8620093
52.3715714,4.8593165
52.3716416,4.8592842
52.3640943,4.8534747
52.3692817,4.8517971
52.3649214,4.8575881
52.3708474,4.8558799
52.3689469,4.8511989
52.3707815,4.8555381
52.3695227,4.8544092
52.3690338,4.854634
52.3706335,4.8547325
52.3706241,4.8546445
52.3706058,4.8545566
52.3705964,4.8544832
52.3705136,4.8539383
52.3641064,4.8541646
52.3710151,4.8570651
52.3696764,4.8616597
52.3714035,4.8596542
52.3623061,4.8575482
52.361679,4.851206
52.3760622,4.8734145
52.3748924,4.8709607
52.378159,4.878263
52.37813,4.878475
52.3697209,4.8761877
52.3782562,4.8817584
52.3684846,4.8701213
52.3686174,4.870804
52.3696906,4.8813973
52.3692132,4.8789073
52.3696548,4.881275
52.3691175,4.879619
52.3727412,4.8786491
52.3689758,4.8792303
52.3694181,4.880568
52.3729889,4.8784397
52.3763149,4.882276
52.3754261,4.8773404
52.3743573,4.873546
52.3768464,4.8821372
52.3742031,4.8776939
52.3740546,4.874794
52.3704422,4.8824031
52.3675705,4.871626
52.3729116,4.8781597
52.3708588,4.870686
52.3715043,4.8577207
52.3715256,4.8583
52.3675003,4.8716895
52.3576989,4.8559255
52.3587244,4.8598803
52.3688219,4.8787736
52.3639676,4.8526825
52.3694981,4.8796788
52.3676046,4.8730433
52.3696493,4.8524867
52.3604337,4.8652881
52.3819342,4.883665
52.3704528,4.8553229
52.3747276,4.8607837
52.3746429,4.8602841
52.3746265,4.8599039
52.3750641,4.8635973
52.3748304,4.8604693
52.3750396,4.8634062
52.3746249,4.8600548
52.3745578,4.858864
52.3746175,4.859388
52.3744602,4.8592888
52.3745475,4.8595262
52.3744026,4.8576148
52.374453,4.857951
52.3743363,4.8578448
52.3742874,4.8565158
52.3743179,4.8567814
52.3742509,4.8562458
52.3743779,4.857236
52.3742988,4.8566049
52.3743939,4.8574182
52.3743487,4.8569629
52.3742376,4.8561329
52.3724343,4.8477633
52.3734155,4.8534687
52.3803117,4.8810539
52.3707339,4.8552392
52.3706904,4.8549791
52.3707082,4.8550727
52.3707178,4.8551506
52.37067,4.8548935
52.3775757,4.8815186
52.3595861,4.8518745
52.372385,4.8772388
52.3703042,4.8822664
52.370045,4.8706729
