,neighborhood,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
382,Circus/Kermisbuurt,Buurt     ,BU03636606,1340,9.33,33.96,31.72,11.57,40.3,13.81,26.49,26.87,43.28,14.18,305.0,27.8,35.1,18.5
383,Kadoelen,Wijk      ,WK036367  ,3485,9.9,24.39,28.69,15.49,29.27,10.76,18.51,16.36,26.69,29.84,459.0,30.1,35.1,27.1
384,Kadoelen,Buurt     ,BU03636700,2370,9.28,25.74,27.64,13.5,26.37,10.97,15.4,13.08,22.78,35.86,511.0,32.2,32.7,31.8
385,Twiske Oost,Buurt     ,BU03636701,1115,11.21,21.52,30.94,19.73,35.43,9.87,25.56,23.32,34.98,17.04,358.0,25.7,39.7,17.9
386,Waterlandpleinbuurt,Wijk      ,WK036368  ,13190,13.46,30.33,23.05,11.87,69.75,12.09,57.66,27.75,26.31,21.68,299.0,20.8,48.2,13.1
387,Baanakkerspark Noord,Buurt     ,BU03636800,595,11.76,31.09,22.69,26.05,51.26,21.01,30.25,15.13,30.25,33.61,250.0,27.0,40.2,16.6
388,Baanakkerspark Zuid,Buurt     ,BU03636801,450,7.78,26.67,24.44,33.33,41.11,23.33,17.78,8.89,31.11,33.33,321.0,31.0,34.6,24.0
389,Werengouw Midden,Buurt     ,BU03636802,4960,12.2,32.26,24.4,13.71,68.25,13.61,54.64,26.41,25.81,24.19,272.0,21.3,48.0,12.0
390,Markengouw Midden,Buurt     ,BU03636803,3450,15.94,31.16,20.87,6.38,76.09,7.97,68.12,32.17,27.83,17.97,336.0,18.7,51.2,12.1
391,Markengouw Zuid,Buurt     ,BU03636804,2125,13.18,31.06,20.94,7.06,76.47,9.88,66.59,32.94,28.24,13.18,289.0,18.2,48.5,11.3
392,Werengouw Zuid,Buurt     ,BU03636805,1605,14.33,22.74,26.17,13.08,66.36,12.46,53.89,24.3,19.94,25.55,366.0,21.5,50.5,15.6
393,Buikslotermeer,Wijk      ,WK036369  ,11160,14.78,27.78,21.64,21.68,60.75,15.01,45.74,22.76,26.16,24.64,297.0,22.0,50.5,12.0
394,Rode Kruisbuurt,Buurt     ,BU03636900,240,10.42,16.67,27.08,35.42,29.17,16.67,12.5,8.33,25.0,41.67,509.0,36.8,25.3,31.2
395,Loenermark,Buurt     ,BU03636902,1580,11.71,31.33,20.89,25.63,55.7,18.99,36.71,21.52,37.34,17.09,262.0,24.8,41.4,13.5
396,Buikslotermeerplein,Buurt     ,BU03636909,980,7.14,28.57,19.39,38.78,48.98,17.86,31.12,25.51,21.43,18.37,322.0,26.4,47.8,15.4
397,Plan van Gool,Buurt     ,BU03636910,3115,14.93,31.46,22.95,13.32,69.5,14.77,54.74,24.72,20.55,30.18,298.0,20.6,52.0,11.7
398,De Kleine Wereld,Buurt     ,BU03636911,2745,14.94,22.77,24.59,17.85,73.77,9.11,64.66,27.69,21.49,22.95,270.0,17.1,59.2,7.0
399,Buikslotermeer Noord,Buurt     ,BU03636912,2495,20.24,27.25,17.64,25.85,46.29,17.84,28.46,15.23,34.87,24.45,318.0,24.7,48.5,13.8
400,Banne Buiksloot,Wijk      ,WK036370  ,14780,12.75,28.55,24.19,15.63,63.67,12.11,51.56,26.32,26.18,21.31,310.0,21.6,49.3,13.4
401,Banne Zuidwest,Buurt     ,BU03637000,3775,14.04,25.7,22.91,16.69,70.07,11.92,58.15,23.31,21.72,24.64,308.0,19.3,53.0,11.6
402,Banne Zuidoost,Buurt     ,BU03637001,4060,9.11,32.64,24.38,16.38,54.93,11.58,43.35,24.88,26.6,25.62,318.0,25.7,41.4,19.4
403,Banne Noordwest,Buurt     ,BU03637002,2625,14.67,28.76,24.38,13.9,72.0,12.19,59.81,31.62,30.48,12.19,280.0,18.6,54.1,7.4
404,Banne Noordoost,Buurt     ,BU03637003,3630,14.33,26.31,24.93,15.56,64.88,11.85,53.03,30.58,30.03,13.22,300.0,19.5,54.1,9.8
405,Buiksloterbreek,Buurt     ,BU03637004,325,9.23,24.62,32.31,20.0,27.69,21.54,6.15,9.23,12.31,55.38,579.0,36.7,26.2,34.6
406,Marjoleinterrein,Buurt     ,BU03637005,360,15.28,37.5,19.44,6.94,56.94,13.89,43.06,16.67,19.44,38.89,379.0,26.1,43.7,21.5
407,Noordelijke IJ-oevers West,Wijk      ,WK036371  ,4760,16.28,50.42,15.34,5.67,40.34,21.53,18.8,9.87,30.04,61.13,338.0,37.7,29.8,34.1
408,Papaverweg e.o.,Buurt     ,BU03637102,1120,7.59,40.18,24.11,4.02,30.8,18.75,12.05,7.14,16.07,61.61,522.0,37.7,25.6,42.0
409,Cornelis Douwesterrein,Buurt     ,BU03637104,0,,,,,,,,,,,,,,
410,NDSM terrein,Buurt     ,BU03637105,1815,33.61,61.43,2.48,0.0,48.48,25.9,22.59,3.86,40.22,64.46,,29.8,39.8,19.4
411,Buiksloterham,Buurt     ,BU03637106,370,5.41,43.24,18.92,2.7,36.49,20.27,16.22,32.43,32.43,81.08,,30.2,26.1,39.0
412,Overhoeks,Buurt     ,BU03637107,1455,4.12,46.74,23.37,14.78,38.83,18.56,20.27,12.37,26.8,52.92,559.0,48.5,20.7,46.3
413,Noordelijke IJ-oevers Oost,Wijk      ,WK036372  ,300,15.0,58.33,15.0,5.0,66.67,41.67,25.0,10.0,26.67,40.0,248.0,30.6,35.3,22.3
414,Bedrijventerrein Hamerstraat,Buurt     ,BU03637200,270,16.67,59.26,12.96,5.56,70.37,46.3,24.07,,,,242.0,31.6,33.2,23.8
415,Zamenhofstraat e.o.,Buurt     ,BU03637201,5,0.0,100.0,0.0,0.0,100.0,100.0,0.0,,,,,,,
416,Bedrijventerrein Nieuwendammerdijk,Buurt     ,BU03637202,25,0.0,20.0,20.0,0.0,20.0,0.0,20.0,,,,,,,
417,Waterland,Wijk      ,WK036373  ,2380,10.08,18.07,33.4,19.75,15.13,10.71,4.41,15.13,21.01,37.39,720.0,35.6,36.4,32.5
418,Schellingwoude West,Buurt     ,BU03637300,70,21.43,14.29,42.86,14.29,14.29,7.14,7.14,14.29,14.29,57.14,632.0,,,
419,Schellingwoude Oost,Buurt     ,BU03637301,625,8.0,18.4,33.6,17.6,18.4,12.8,5.6,8.0,20.8,43.2,673.0,41.3,32.6,41.4
420,Schellingwoude Noord,Buurt     ,BU03637302,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
421,Durgerdam,Buurt     ,BU03637303,510,10.78,16.67,34.31,17.65,15.69,11.76,3.92,13.73,17.65,41.18,744.0,37.0,35.5,34.2
422,Zwarte Gouw,Buurt     ,BU03637304,25,20.0,20.0,40.0,20.0,0.0,0.0,0.0,,,,,,,
423,Ransdorp,Buurt     ,BU03637305,310,11.29,16.13,32.26,24.19,11.29,8.06,3.23,12.9,22.58,38.71,775.0,34.0,37.0,30.5
424,Holysloot,Buurt     ,BU03637306,295,10.17,13.56,35.59,20.34,10.17,6.78,3.39,16.95,27.12,30.51,732.0,31.2,36.2,29.7
425,Zunderdorp,Buurt     ,BU03637307,480,10.42,20.83,29.17,23.96,10.42,7.29,3.12,25.0,20.83,29.17,709.0,32.5,37.0,25.9
426,Noorderstrook West,Buurt     ,BU03637308,50,0.0,40.0,50.0,10.0,40.0,30.0,10.0,,,,,,,
427,Noorderstrook Oost,Buurt     ,BU03637309,10,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
428,Elzenhagen,Wijk      ,WK036374  ,3455,15.2,36.61,19.97,6.66,50.8,14.62,36.18,15.34,28.65,39.07,,30.0,35.1,29.5
429,Nintemanterrein,Buurt     ,BU03637400,120,4.17,20.83,25.0,16.67,16.67,12.5,4.17,8.33,25.0,41.67,650.0,40.1,,
430,Elzenhagen Zuid,Buurt     ,BU03637401,820,34.15,50.0,9.15,3.05,65.24,10.37,54.88,17.07,53.66,24.39,,24.0,55.4,8.0
431,Elzenhagen Noord,Buurt     ,BU03637402,2510,9.76,33.27,22.91,6.97,47.61,16.14,31.47,15.14,21.12,43.43,482.0,31.5,26.6,38.2
432,Chassébuurt,Wijk      ,WK036375  ,6160,12.18,40.5,23.7,8.85,54.55,18.83,35.71,19.32,19.64,43.34,420.0,30.0,40.5,24.6
433,Kortenaerkwartier,Buurt     ,BU03637500,2220,13.74,38.06,25.23,9.23,48.2,20.5,27.7,16.67,22.52,45.05,446.0,30.2,40.5,24.9
434,Filips van Almondekwartier,Buurt     ,BU03637501,1105,11.31,47.96,20.81,7.24,48.87,23.08,25.79,12.67,18.1,51.58,421.0,37.1,31.6,33.2
435,De Wester Quartier,Buurt     ,BU03637502,1810,11.88,40.88,23.2,8.29,62.98,17.96,45.03,24.86,19.34,38.12,408.0,27.7,43.8,20.2
436,Van Brakelkwartier,Buurt     ,BU03637503,1025,10.24,37.07,24.39,10.24,60.0,12.2,47.8,19.51,16.59,41.95,383.0,26.0,45.1,22.1
437,Slotermeer-Noordoost,Wijk      ,WK036376  ,9480,13.08,33.86,23.15,9.86,76.53,13.66,62.87,28.69,24.16,20.99,252.0,20.0,51.4,11.1
438,Buurt 3,Buurt     ,BU03637600,6405,12.33,33.1,23.11,10.54,73.61,14.13,59.48,28.88,25.29,20.3,256.0,20.2,50.3,11.9
439,Buurt 2,Buurt     ,BU03637601,3075,14.63,35.28,23.25,8.46,82.6,12.68,69.92,27.97,21.46,22.44,244.0,19.3,53.5,9.6
440,Slotermeer-Zuidwest,Wijk      ,WK036377  ,18025,13.48,34.04,22.19,11.48,74.79,13.01,61.78,28.79,28.18,19.47,249.0,20.6,51.0,11.8
441,Slotermeer Zuid,Buurt     ,BU03637700,3415,10.25,37.92,21.67,14.06,74.38,12.01,62.37,29.28,28.7,19.62,207.0,19.8,53.8,7.8
442,Noordoever Sloterplas,Buurt     ,BU03637701,3340,13.92,34.73,23.8,10.78,58.23,17.51,40.72,18.26,31.14,29.94,310.0,27.3,38.7,22.0
443,Buurt 4 Oost,Buurt     ,BU03637702,3610,13.99,33.66,22.58,12.88,74.52,19.53,54.99,27.15,31.3,18.56,272.0,21.7,48.3,12.9
444,Buurt 5 Noord,Buurt     ,BU03637703,3680,15.08,31.52,22.69,8.83,88.04,6.93,81.11,37.5,26.36,9.51,221.0,16.2,58.6,5.9
445,Sloterpark,Buurt     ,BU03637704,75,33.33,53.33,0.0,0.0,86.67,46.67,40.0,,,,,,,
446,Buurt 5 Zuid,Buurt     ,BU03637705,3905,13.57,32.52,21.0,11.01,77.08,9.09,67.99,30.73,23.82,19.97,247.0,18.6,55.6,10.5
447,Geuzenveld,Wijk      ,WK036378  ,16535,13.34,33.23,21.02,10.25,79.26,11.73,67.52,31.27,26.43,15.24,292.0,19.6,50.2,11.9
448,Buurt 6,Buurt     ,BU03637800,3060,14.54,31.54,22.39,10.46,77.61,9.31,68.3,35.29,26.47,11.76,247.0,17.4,55.7,7.0
449,Buurt 7,Buurt     ,BU03637801,2825,12.74,30.8,18.94,12.74,73.45,13.45,60.0,22.65,30.8,16.28,348.0,21.2,44.9,15.9
450,Buurt 8,Buurt     ,BU03637802,4250,13.06,37.65,19.18,8.47,83.41,14.47,68.94,28.24,28.47,17.18,288.0,20.2,49.5,13.0
451,Buurt 9,Buurt     ,BU03637803,6090,13.46,31.61,22.17,10.43,80.71,9.93,70.77,35.3,23.97,13.3,302.0,19.3,50.6,11.6
452,Eendrachtspark,Buurt     ,BU03637804,310,9.68,41.94,30.65,6.45,66.13,19.35,46.77,29.03,16.13,38.71,224.0,24.6,43.6,15.8
453,Eendracht,Wijk      ,WK036379  ,2450,11.02,26.53,28.57,16.53,60.41,12.24,48.16,23.67,34.29,20.0,365.0,25.7,38.5,18.1
454,Osdorper Binnenpolder,Buurt     ,BU03637900,30,16.67,16.67,33.33,16.67,50.0,16.67,33.33,,,,,,,
455,Buurt 10,Buurt     ,BU03637901,2420,10.95,26.65,28.31,16.12,60.33,12.19,48.14,,,,362.0,25.7,38.4,18.1
456,Lutkemeer/Ookmeer,Wijk      ,WK036380  ,1215,13.58,30.04,27.16,14.81,46.91,9.88,37.04,27.98,32.92,22.22,620.0,29.9,44.4,22.9
457,Ookmeer,Buurt     ,BU03638000,335,14.93,52.24,14.93,1.49,100.0,2.99,97.01,,,,,,,
458,Osdorper Bovenpolder,Buurt     ,BU03638001,810,11.73,22.22,32.1,19.75,27.78,13.58,14.2,23.46,32.1,20.99,604.0,29.5,44.5,23.4
459,Bedrijvenpark Lutkemeer,Buurt     ,BU03638002,70,28.57,7.14,35.71,14.29,14.29,0.0,14.29,,,,829.0,,,
460,Osdorp-Oost,Wijk      ,WK036381  ,16680,12.47,29.98,22.51,18.76,66.31,14.87,51.44,26.62,27.58,23.56,282.0,23.3,47.6,14.6
461,Wildeman,Buurt     ,BU03638100,4990,11.52,28.36,22.24,19.64,74.65,11.12,63.53,36.87,22.85,11.02,221.0,17.8,57.1,6.0
462,Meer en Oever,Buurt     ,BU03638101,3155,9.51,33.6,24.09,18.54,63.71,20.44,43.26,18.38,25.04,33.91,353.0,30.4,35.3,25.3
463,Osdorpplein e.o.,Buurt     ,BU03638102,3275,13.44,32.82,19.54,13.13,74.66,12.52,62.14,25.34,30.53,33.89,298.0,22.2,46.5,16.3
464,Calandlaan/Lelylaan,Buurt     ,BU03638103,1245,8.43,26.51,31.33,19.68,62.25,14.46,47.79,28.92,30.52,18.47,277.0,25.0,44.9,14.6
465,Osdorp Zuidoost,Buurt     ,BU03638104,4010,16.33,27.93,21.2,22.32,52.49,17.08,35.41,19.2,32.17,25.94,292.0,24.9,47.2,15.2
466,Osdorp-Midden,Wijk      ,WK036382  ,15710,13.46,32.97,21.48,11.49,79.15,13.37,65.79,28.39,27.37,17.38,298.0,21.9,47.6,15.2
467,Osdorp Midden Noord,Buurt     ,BU03638200,2825,13.98,26.02,21.59,19.12,80.88,6.73,74.16,29.03,25.49,9.56,234.0,17.6,56.0,6.9
468,Osdorp Midden Zuid,Buurt     ,BU03638201,3485,10.47,34.29,18.79,10.9,80.06,13.06,67.0,30.99,25.25,13.77,279.0,20.4,49.8,14.5
469,Zuidwestkwadrant Osdorp Noord,Buurt     ,BU03638202,3190,14.89,32.76,19.44,13.32,81.35,13.95,67.4,27.9,26.96,18.18,307.0,20.0,51.0,11.7
470,Zuidwestkwadrant Osdorp Zuid,Buurt     ,BU03638203,6210,14.17,35.51,24.07,7.41,76.65,16.34,60.31,25.93,29.95,23.19,337.0,25.7,41.1,20.8
471,De Punt,Wijk      ,WK036383  ,6225,14.06,33.33,21.45,12.93,71.73,16.63,55.1,30.84,28.27,16.71,250.0,21.2,45.9,12.1
472,De Punt,Buurt     ,BU03638300,6105,14.33,33.42,20.64,13.02,71.91,16.79,55.12,30.47,28.34,16.87,252.0,21.2,45.9,12.1
473,Bedrijvencentrum Osdorp,Buurt     ,BU03638301,120,0.0,29.17,62.5,4.17,62.5,8.33,54.17,,,,,,,
474,Middelveldsche Akerpolder,Wijk      ,WK036384  ,14470,14.37,23.98,31.48,12.92,57.6,12.68,44.92,22.46,30.68,24.46,410.0,29.3,38.2,24.4
475,Middelveldsche Akerpolder,Buurt     ,BU03638400,3970,9.82,28.21,25.06,16.75,57.68,12.09,45.59,26.2,28.97,17.13,354.0,24.7,38.8,17.6
476,De Aker West,Buurt     ,BU03638401,4570,14.66,23.19,33.81,13.02,56.35,13.02,43.33,19.69,31.29,28.23,402.0,31.2,36.5,25.5
477,De Aker Oost,Buurt     ,BU03638402,5925,17.38,21.86,34.01,10.21,58.4,12.74,45.65,21.94,31.22,26.5,459.0,30.9,39.1,28.0
478,Slotervaart Noord,Wijk      ,WK036385  ,8140,12.71,28.32,25.06,15.48,62.47,16.22,46.25,24.2,22.97,27.27,345.0,24.4,45.2,18.0
479,Oostoever Sloterplas,Buurt     ,BU03638500,2510,11.75,20.52,31.08,22.71,46.81,17.13,29.68,17.93,24.7,32.27,439.0,32.3,38.4,28.5
480,Emanuel van Meterenbuurt,Buurt     ,BU03638501,2275,10.99,28.13,23.52,17.58,53.63,20.22,33.41,18.02,18.9,32.97,353.0,25.3,41.5,20.3
481,Jacob Geelbuurt,Buurt     ,BU03638502,3360,14.58,33.93,21.43,8.78,80.21,12.8,67.41,31.25,23.81,21.43,273.0,17.8,53.5,7.7
482,Overtoomse Veld,Wijk      ,WK036386  ,14145,18.45,42.1,16.47,7.67,70.59,17.64,52.95,24.32,25.95,31.39,319.0,26.4,41.6,21.1
483,Overtoomse Veld Noord,Buurt     ,BU03638600,6175,15.63,36.28,20.65,7.69,78.79,11.26,67.53,29.96,24.78,23.0,340.0,22.7,49.6,17.7
484,Overtoomse Veld Zuid,Buurt     ,BU03638601,4325,12.95,49.48,15.14,7.51,64.05,15.38,48.67,23.58,22.43,35.84,292.0,27.7,33.8,20.0
485,Rembrandtpark Noord,Buurt     ,BU03638602,940,32.45,43.62,8.51,7.98,48.94,34.04,14.89,4.26,44.68,41.49,353.0,30.4,40.1,26.1
486,Rembrandtpark Zuid,Buurt     ,BU03638603,850,10.0,58.82,12.35,10.0,50.59,31.18,19.41,4.71,21.18,60.0,380.0,42.9,24.7,41.6
487,Johan Jongkindbuurt,Buurt     ,BU03638604,760,17.76,21.71,26.97,15.79,82.89,7.24,75.66,43.42,19.74,7.89,257.0,14.9,67.1,3.3
488,Lucas/Andreasziekenhuis e.o.,Buurt     ,BU03638605,1095,51.14,46.12,0.91,0.0,76.26,44.75,31.51,,,,279.0,39.9,23.4,40.5
489,Westlandgracht,Wijk      ,WK036387  ,11350,18.72,48.99,14.19,6.87,64.63,24.98,39.65,13.04,23.0,49.78,306.0,33.0,37.0,26.6
490,Koningin Wilhelminaplein,Buurt     ,BU03638700,2795,10.73,60.82,13.24,6.44,64.76,34.35,30.41,7.87,13.6,69.41,376.0,43.0,19.2,43.5
491,Andreasterrein,Buurt     ,BU03638701,1295,9.65,35.14,23.17,10.42,59.85,24.71,35.14,12.36,14.67,44.79,670.0,43.6,32.3,41.8
492,Delflandpleinbuurt Oost,Buurt     ,BU03638702,1575,14.6,38.41,23.49,8.89,64.76,16.83,47.94,24.13,31.11,24.13,300.0,26.8,46.5,18.4
493,Delflandpleinbuurt West,Buurt     ,BU03638703,3945,19.39,46.26,13.94,8.11,64.64,21.29,43.35,15.97,29.15,39.29,268.0,27.4,41.9,17.8
494,Riekerhaven,Buurt     ,BU03638704,570,42.98,54.39,0.0,0.0,72.81,6.14,66.67,12.28,17.54,66.67,120.0,18.7,68.2,0.9
495,Schipluidenbuurt,Buurt     ,BU03638705,1175,39.15,57.45,1.7,0.43,65.53,36.17,29.36,0.85,28.94,65.53,195.0,29.6,41.8,22.2
496,Sloter-/Riekerpolder,Wijk      ,WK036388  ,14035,12.33,25.01,32.38,15.85,47.2,16.92,30.28,15.82,28.64,34.84,407.0,32.2,34.5,27.9
497,Riekerpolder,Buurt     ,BU03638800,65,7.69,69.23,15.38,0.0,92.31,30.77,61.54,,,,,,,
498,Park Haagseweg,Buurt     ,BU03638801,990,10.1,22.22,34.85,18.69,39.39,21.72,17.68,11.11,24.24,46.46,466.0,43.8,23.5,40.0
499,Nieuwe Meer,Buurt     ,BU03638802,165,12.12,18.18,48.48,6.06,24.24,18.18,6.06,,,,,19.1,64.1,13.0
500,Sloterweg e.o.,Buurt     ,BU03638803,265,11.32,24.53,26.42,22.64,39.62,16.98,22.64,7.55,18.87,49.06,811.0,40.4,38.9,34.5
501,Nieuw Sloten Noordwest,Buurt     ,BU03638804,3110,12.38,24.6,32.48,14.47,53.38,14.79,38.59,17.68,30.87,30.87,388.0,29.5,36.1,25.9
502,Nieuw Sloten Noordoost,Buurt     ,BU03638805,3165,10.43,25.43,30.33,20.06,46.6,14.38,32.23,17.69,30.02,29.7,400.0,29.8,34.8,23.9
503,Belgiëplein e.o.,Buurt     ,BU03638806,1085,7.83,27.65,28.11,28.57,58.06,23.96,34.1,21.2,22.12,35.02,333.0,30.6,41.2,21.3
504,Nieuw Sloten Zuidwest,Buurt     ,BU03638807,2295,16.12,20.48,39.65,9.59,43.57,17.43,26.14,12.2,26.14,44.88,429.0,34.8,31.1,35.1
505,Nieuw Sloten Zuidoost,Buurt     ,BU03638808,2175,14.02,31.72,26.9,10.34,51.49,18.85,32.64,17.01,33.1,27.13,404.0,29.7,34.3,26.9
506,Dorp Sloten,Buurt     ,BU03638809,710,12.68,18.31,38.73,19.01,20.42,12.68,7.75,14.08,30.99,36.62,414.0,37.6,35.0,28.0
507,Slotervaart Zuid,Wijk      ,WK036389  ,10810,17.85,33.63,18.55,13.46,67.99,16.84,51.16,22.57,27.66,25.35,312.0,22.9,48.9,15.2
508,Louis Chrispijnbuurt,Buurt     ,BU03638900,3260,15.03,29.45,21.32,18.71,65.03,15.95,49.08,27.61,27.3,20.86,304.0,21.8,49.5,11.6
509,Jacques Veltmanbuurt,Buurt     ,BU03638901,3630,16.94,37.74,17.36,12.12,67.63,20.8,46.83,18.46,25.62,33.88,277.0,25.2,43.8,19.1
510,Staalmanbuurt,Buurt     ,BU03638902,3105,14.98,32.69,20.13,11.11,73.59,11.76,61.84,24.15,24.15,21.9,374.0,23.2,48.5,17.6
511,Medisch Centrum Slotervaart,Buurt     ,BU03638903,820,43.9,35.98,6.1,7.32,59.76,21.95,37.8,,,,291.0,15.8,70.1,3.7
512,Buitenveldert-West,Wijk      ,WK036390  ,13615,10.47,33.2,20.6,23.03,53.43,28.13,25.3,12.27,21.52,40.47,460.0,38.4,32.7,31.4
513,Gelderlandpleinbuurt,Buurt     ,BU03639000,4610,10.41,36.55,18.11,24.19,55.97,29.93,26.03,11.93,23.64,39.48,418.0,38.4,32.2,30.7
514,Buitenveldert Midden Zuid,Buurt     ,BU03639002,3805,12.48,39.16,19.97,13.53,58.87,27.99,30.88,14.19,22.6,42.31,421.0,34.6,32.0,30.6
515,Buitenveldert Zuidwest,Buurt     ,BU03639003,4105,8.28,27.16,22.66,28.62,48.11,26.07,22.05,11.45,15.59,42.87,466.0,39.0,33.9,31.5
516,Amsterdamse Bos,Buurt     ,BU03639004,70,14.29,21.43,28.57,28.57,28.57,21.43,7.14,,,,,,,
517,Buitenveldert West Midden,Buurt     ,BU03639008,1005,10.95,18.91,25.37,31.34,44.28,28.86,15.42,12.94,15.92,39.8,804.0,49.1,33.0,36.4
518,Zuiderhof,Buurt     ,BU03639009,30,16.67,50.0,16.67,0.0,83.33,66.67,16.67,,,,,,,
519,Buitenveldert-Oost,Wijk      ,WK036391  ,8100,9.14,32.65,19.51,26.91,55.86,25.99,29.88,12.1,22.59,36.42,424.0,35.6,34.3,29.6
520,De Klenckebuurt,Buurt     ,BU03639100,795,3.77,32.08,16.98,37.11,50.31,27.67,22.64,,,,513.0,44.8,22.4,42.9
521,Buitenveldert Oost Midden,Buurt     ,BU03639101,3290,7.9,32.22,20.06,27.96,55.62,21.73,33.89,16.41,20.36,34.65,382.0,32.1,38.6,24.8
522,Buitenveldert Zuidoost,Buurt     ,BU03639102,4000,11.38,33.25,19.62,24.0,57.25,29.12,28.12,9.5,26.0,36.5,443.0,37.2,32.6,31.8
523,Amstelpark,Buurt     ,BU03639103,10,50.0,50.0,50.0,0.0,0.0,0.0,0.0,,,,,,,
524,Amstel III/Bullewijk,Wijk      ,WK036392  ,745,49.66,38.26,8.05,1.34,63.09,22.82,40.27,9.4,124.83,69.8,107.0,,61.0,10.4
525,Hoofdcentrum Zuidoost,Buurt     ,BU03639200,20,0.0,75.0,0.0,0.0,75.0,50.0,25.0,,,,,,,
526,Amstel III deel A/B Noord,Buurt     ,BU03639201,75,13.33,60.0,13.33,0.0,93.33,46.67,46.67,,,,,,,
527,Amstel III deel C/D Noord,Buurt     ,BU03639202,25,0.0,80.0,20.0,0.0,100.0,40.0,60.0,,,,,,,
528,Amstel III deel A/B Zuid,Buurt     ,BU03639203,450,65.56,31.11,3.33,0.0,60.0,15.56,44.44,,,,100.0,16.2,71.1,3.9
529,Amstel III deel C/D Zuid,Buurt     ,BU03639204,5,0.0,100.0,0.0,100.0,100.0,100.0,0.0,,,,,,,
530,AMC,Buurt     ,BU03639205,35,0.0,42.86,57.14,0.0,71.43,28.57,42.86,,,,,,,
531,Hoge Dijk,Buurt     ,BU03639206,140,42.86,35.71,10.71,7.14,42.86,17.86,25.0,28.57,28.57,28.57,,,,
532,"Bijlmer Centrum (D,F,H)",Wijk      ,WK036393  ,24935,19.81,32.54,24.4,7.92,83.36,12.87,70.48,26.51,32.44,22.22,198.0,20.5,52.2,9.2
533,Venserpolder West,Buurt     ,BU03639300,5210,11.13,33.97,28.02,12.28,82.05,12.38,69.67,27.45,25.14,27.64,215.0,22.0,49.0,9.7
534,Venserpolder Oost,Buurt     ,BU03639301,3460,12.14,37.28,28.03,8.09,81.79,12.14,69.65,23.99,36.42,22.25,228.0,22.2,47.0,10.4
535,D-buurt,Buurt     ,BU03639302,1950,58.46,27.18,6.15,1.79,73.85,23.33,50.51,16.41,52.82,21.54,48.0,13.4,75.8,2.6
536,F-buurt,Buurt     ,BU03639303,4470,18.79,36.24,22.48,4.81,82.44,9.84,72.6,23.49,30.43,26.17,243.0,24.7,40.5,16.2
537,Amsterdamse Poort,Buurt     ,BU03639304,1395,19.35,28.32,28.67,12.19,88.89,15.41,73.48,35.13,35.84,12.9,207.0,19.0,58.6,3.7
538,Hoptille,Buurt     ,BU03639305,1925,33.51,32.73,16.88,3.38,85.97,23.38,62.6,22.34,35.32,23.38,,15.8,63.6,4.9
539,Rechte H-buurt,Buurt     ,BU03639306,3070,16.61,26.71,28.99,9.12,89.9,8.96,80.94,38.11,26.38,14.01,222.0,17.8,56.1,5.9
540,Hakfort/Huigenbos,Buurt     ,BU03639307,2545,16.7,32.42,25.34,5.7,85.46,8.25,77.21,28.68,34.97,14.54,215.0,16.8,58.6,3.9
541,Huntum,Buurt     ,BU03639308,205,12.2,19.51,26.83,29.27,56.1,17.07,39.02,24.39,19.51,34.15,412.0,35.2,30.8,32.5
542,Vogeltjeswei,Buurt     ,BU03639309,710,12.68,26.76,30.99,14.08,85.92,9.15,76.76,23.94,33.8,21.13,331.0,25.2,43.6,17.1
543,Nelson Mandelapark,Buurt     ,BU03639310,0,,,,,,,,,,,,,,
544,"Bijlmer Oost (E,G,K)",Wijk      ,WK036394  ,29770,14.86,29.43,26.39,12.51,79.06,11.05,68.0,28.52,30.84,19.55,251.0,22.3,48.0,12.6
545,E-buurt,Buurt     ,BU03639400,2180,23.17,30.05,20.18,1.83,77.52,11.01,66.51,22.48,33.94,20.18,372.0,24.3,42.0,22.0
546,G-buurt West,Buurt     ,BU03639401,3710,14.42,32.61,29.11,10.65,85.85,11.86,73.99,24.8,38.27,20.49,310.0,25.5,41.9,15.3
547,Bijlmermuseum Noord,Buurt     ,BU03639402,2345,13.22,22.39,29.21,17.91,87.63,7.89,79.74,40.09,26.01,10.23,222.0,16.8,62.4,4.0
548,Kortvoort,Buurt     ,BU03639403,2625,11.43,27.62,27.62,19.24,79.62,8.38,71.24,35.43,33.9,12.57,194.0,19.5,55.8,5.5
549,Kelbergen,Buurt     ,BU03639404,1020,16.67,22.55,27.94,17.16,74.02,8.33,65.69,30.39,32.35,12.75,258.0,19.9,51.4,7.9
550,K-buurt Midden,Buurt     ,BU03639405,2400,16.04,34.58,24.38,6.25,82.08,8.96,73.12,28.75,32.5,17.5,178.0,19.4,51.3,8.1
551,K-buurt Zuidoost,Buurt     ,BU03639406,1405,14.23,39.15,18.51,3.2,82.21,8.9,73.31,27.05,24.91,21.35,367.0,23.9,38.4,22.3
