,neighborhood,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
256,Legmeerpleinbuurt,Buurt     ,BU03634404,1695,9.73,41.89,23.89,10.91,36.87,24.78,12.09,8.85,20.65,52.51,477.0,40.6,27.6,36.6
257,Bedrijventerrein Schinkel,Buurt     ,BU03634405,260,48.08,19.23,21.15,7.69,59.62,42.31,17.31,11.54,34.62,50.0,,40.9,40.1,29.2
258,Schinkelbuurt,Wijk      ,WK036345  ,3960,9.85,47.1,22.73,10.48,45.83,26.26,19.57,10.86,22.73,55.05,434.0,38.6,31.5,31.3
259,Schinkelbuurt Noord,Buurt     ,BU03634500,2430,10.08,50.21,22.22,7.82,43.83,27.98,15.84,8.23,22.22,59.26,444.0,42.6,27.8,35.7
260,Schinkelbuurt Zuid,Buurt     ,BU03634501,1535,9.12,42.02,23.45,14.66,48.53,23.13,25.41,16.94,23.45,45.6,420.0,32.3,37.2,24.4
261,Willemspark,Wijk      ,WK036346  ,5515,11.33,29.01,27.74,13.78,44.61,32.0,12.6,7.98,16.68,53.49,1045.0,72.6,28.4,46.3
262,Valeriusbuurt Oost,Buurt     ,BU03634600,1405,11.39,23.49,31.67,12.81,47.33,37.37,9.96,9.25,14.23,52.67,1189.0,85.1,27.0,51.5
263,Valeriusbuurt West,Buurt     ,BU03634601,2585,10.44,31.91,24.76,13.73,45.84,30.75,15.09,8.12,15.09,53.38,843.0,58.9,28.2,44.3
264,Willemsparkbuurt Noord,Buurt     ,BU03634602,1520,12.5,29.28,29.28,14.47,40.13,29.28,10.86,7.24,20.39,55.26,1264.0,84.5,30.0,45.5
265,Vondelpark West,Buurt     ,BU03634603,0,,,,,,,,,,,,,,
266,Museumkwartier,Wijk      ,WK036347  ,12625,10.02,29.98,26.1,19.68,41.86,31.09,10.77,12.2,14.1,51.09,990.0,70.1,26.8,43.8
267,Johannnes Vermeerbuurt,Buurt     ,BU03634700,1490,9.4,30.87,26.51,17.79,46.31,33.56,12.75,6.71,16.11,55.7,1061.0,66.5,27.9,46.7
268,P.C. Hooftbuurt,Buurt     ,BU03634701,795,10.06,32.08,28.93,16.98,52.2,38.36,13.84,6.29,22.64,52.83,1080.0,74.4,28.0,45.8
269,Concertgebouwbuurt,Buurt     ,BU03634702,1845,10.57,28.18,27.37,17.34,42.55,31.98,10.57,5.96,13.01,57.99,1184.0,69.5,27.7,47.3
270,Cornelis Schuytbuurt,Buurt     ,BU03634703,2875,11.83,26.43,28.87,15.65,44.17,34.26,9.91,6.61,16.35,53.91,1271.0,76.6,28.1,48.8
271,Banpleinbuurt,Buurt     ,BU03634704,785,14.01,15.92,30.57,24.84,33.76,26.75,7.01,,,,1583.0,134.4,24.8,45.7
272,Hondecoeterbuurt,Buurt     ,BU03634705,2050,9.51,33.9,23.9,17.8,42.44,31.22,11.22,28.78,8.29,39.02,893.0,74.4,24.6,43.7
273,Harmoniehofbuurt,Buurt     ,BU03634706,1385,5.78,19.13,20.94,45.85,27.08,19.13,7.94,5.05,15.16,49.1,563.0,37.4,27.0,29.3
274,Museumplein,Buurt     ,BU03634707,5,0.0,0.0,100.0,100.0,100.0,100.0,0.0,,,,,,,
275,Vondelpark Oost,Buurt     ,BU03634708,0,inf,,inf,inf,,,,,,,,,,
276,Duivelseiland,Buurt     ,BU03634709,1385,8.66,50.18,22.38,7.94,44.77,31.05,13.72,7.94,15.16,63.54,530.0,50.5,25.8,42.3
277,Stadionbuurt,Wijk      ,WK036348  ,11925,8.93,38.49,24.49,14.97,45.83,22.35,23.48,13.84,21.13,45.62,479.0,37.4,36.0,31.0
278,Bertelmanpleinbuurt,Buurt     ,BU03634800,1075,9.77,34.42,26.98,20.47,49.3,15.81,33.49,16.74,22.33,47.44,411.0,27.7,45.2,17.2
279,Marathonbuurt Oost,Buurt     ,BU03634801,1460,10.62,31.16,29.45,18.49,43.49,18.15,25.34,19.18,25.34,39.04,447.0,31.3,42.1,23.4
280,Marathonbuurt West,Buurt     ,BU03634802,2425,8.87,36.08,28.45,16.49,52.99,18.35,34.64,21.03,27.63,35.05,374.0,27.3,47.1,18.6
281,Olympisch Stadion e.o.,Buurt     ,BU03634803,2345,6.82,37.53,21.75,15.14,51.81,28.57,23.24,9.81,20.47,41.36,642.0,48.2,28.6,44.7
282,IJsbaanpad e.o.,Buurt     ,BU03634804,380,13.16,17.11,36.84,13.16,18.42,15.79,2.63,7.89,15.79,47.37,,36.9,32.3,36.8
283,Van Tuyllbuurt,Buurt     ,BU03634805,4230,8.98,46.1,20.21,11.82,40.78,24.82,15.96,9.46,16.55,55.79,495.0,42.0,28.5,37.8
284,Apollobuurt,Wijk      ,WK036349  ,8535,10.08,25.31,26.95,17.98,42.88,32.1,10.78,11.36,17.57,43.0,1166.0,66.2,26.0,50.1
285,Diepenbrockbuurt,Buurt     ,BU03634900,790,12.66,21.52,29.11,16.46,32.91,22.78,10.13,39.24,6.33,27.85,2065.0,81.5,25.0,51.8
286,Beethovenbuurt,Buurt     ,BU03634901,1260,11.51,22.62,26.59,19.05,42.86,32.54,10.32,7.14,14.29,47.62,1386.0,68.0,28.4,48.0
287,Hiltonbuurt,Buurt     ,BU03634902,80,18.75,6.25,37.5,12.5,18.75,12.5,6.25,12.5,12.5,50.0,,,,
288,Minervabuurt Noord,Buurt     ,BU03634903,1330,9.4,21.8,30.08,18.05,44.74,33.08,11.65,6.02,18.05,48.12,1227.0,65.1,26.0,51.5
289,Minervabuurt Midden,Buurt     ,BU03634904,2415,11.8,24.43,26.71,17.6,46.17,34.99,11.18,4.97,26.92,40.99,1064.0,67.1,27.3,50.4
290,Minervabuurt Zuid,Buurt     ,BU03634905,2655,7.34,30.89,24.67,18.27,43.13,32.39,10.73,5.65,16.2,50.09,881.0,60.4,24.1,49.5
291,IJburg Oost,Wijk      ,WK036350  ,0,,,,,,,,,,,,,,
292,Strandeiland,Buurt     ,BU03635000,0,,,,,,,,,,,,,,
293,Middeneiland Zuidoost,Buurt     ,BU03635001,0,,,,,,,,,,,,,,
294,Middeneiland Zuidwest,Buurt     ,BU03635003,0,,,,,,,,,,,,,,
295,Buiteneiland,Buurt     ,BU03635005,0,,,,,,,,,,,,,,
296,Centrumeiland,Buurt     ,BU03635006,0,,,,,,,,,,,,,,
297,IJburg Zuid,Wijk      ,WK036351  ,8265,10.89,32.0,23.77,4.05,55.05,16.52,38.54,14.28,22.02,32.79,520.0,32.0,34.7,36.6
298,Rieteiland Oost,Buurt     ,BU03635100,345,8.7,15.94,34.78,1.45,27.54,15.94,11.59,11.59,8.7,43.48,1470.0,54.5,22.7,61.6
299,Haveneiland Oost,Buurt     ,BU03635101,6100,10.57,30.74,24.18,3.11,52.21,16.8,35.41,13.28,20.82,33.77,536.0,32.6,33.1,40.1
300,Haveneiland Noord,Buurt     ,BU03635102,1830,12.02,39.34,20.22,7.38,69.67,15.57,54.1,18.58,29.51,26.23,393.0,25.6,41.2,22.6
301,Scheldebuurt,Wijk      ,WK036352  ,14995,9.6,41.28,20.41,14.7,36.21,23.04,13.17,6.74,15.07,56.95,552.0,42.7,27.8,38.0
302,Wielingenbuurt,Buurt     ,BU03635200,2995,9.85,40.07,21.87,14.02,36.23,25.21,11.02,6.68,12.02,60.43,628.0,47.7,25.5,40.9
303,Scheldebuurt West,Buurt     ,BU03635201,4365,10.54,39.52,21.31,14.43,36.31,22.68,13.63,7.33,19.7,51.32,551.0,40.2,29.7,35.2
304,Scheldebuurt Midden,Buurt     ,BU03635202,3135,9.73,41.79,18.82,14.35,34.13,23.13,11.0,4.78,11.48,61.88,585.0,42.4,27.2,39.2
305,Scheldebuurt Oost,Buurt     ,BU03635203,2355,11.89,42.68,19.96,11.89,36.52,23.14,13.38,6.79,17.83,58.17,514.0,41.2,28.0,37.4
306,Veluwebuurt,Buurt     ,BU03635206,1525,4.92,35.41,22.3,25.9,36.39,17.7,18.69,12.46,16.39,41.31,413.0,35.3,33.9,29.5
307,Kop Zuidas,Buurt     ,BU03635207,615,3.25,65.85,11.38,4.07,43.9,28.46,15.45,1.63,9.76,79.67,572.0,61.4,12.0,61.7
308,IJselbuurt,Wijk      ,WK036353  ,5290,10.11,43.76,22.12,13.52,42.06,20.7,21.36,13.04,21.17,49.72,421.0,34.5,36.4,26.7
309,IJselbuurt West,Buurt     ,BU03635300,2390,8.58,43.31,23.43,14.85,40.17,19.87,20.29,14.23,20.08,49.79,408.0,35.4,38.7,26.6
310,IJselbuurt Oost,Buurt     ,BU03635301,2905,11.53,44.06,21.17,12.39,43.37,21.34,22.03,12.05,22.03,49.57,434.0,33.8,34.3,26.9
311,Rijnbuurt,Wijk      ,WK036354  ,9160,10.37,41.87,22.87,14.47,39.63,19.38,20.25,12.55,21.72,48.91,418.0,36.7,36.3,28.0
312,Kromme Mijdrechtbuurt,Buurt     ,BU03635400,2485,10.06,42.05,23.54,14.08,41.85,19.92,21.93,12.88,21.33,49.5,408.0,35.2,35.9,26.9
313,Rijnbuurt Oost,Buurt     ,BU03635401,2700,11.48,44.81,20.93,12.41,34.44,19.63,14.81,7.78,22.96,53.33,420.0,39.6,31.3,33.3
314,Rijnbuurt Midden,Buurt     ,BU03635402,2205,10.66,47.39,19.73,12.47,34.24,20.41,13.83,9.07,17.23,58.5,439.0,41.4,31.7,32.3
315,Rijnbuurt West,Buurt     ,BU03635403,1725,8.41,30.43,28.7,20.58,52.17,16.81,35.36,24.35,24.93,29.57,387.0,27.1,50.9,15.4
316,Zorgvlied,Buurt     ,BU03635404,45,0.0,33.33,33.33,22.22,11.11,11.11,0.0,0.0,22.22,44.44,,,,
317,Frankendael,Wijk      ,WK036355  ,11640,12.89,37.63,21.78,14.82,46.91,18.17,28.74,13.23,22.94,46.05,373.0,32.6,38.2,26.0
318,De Eenhoorn,Buurt     ,BU03635501,2645,27.22,51.98,9.26,2.46,58.79,23.06,35.73,8.32,29.87,53.69,270.0,30.8,44.8,24.8
319,Julianapark,Buurt     ,BU03635502,1085,4.61,56.22,17.05,12.44,44.7,25.35,19.35,2.76,8.29,72.81,431.0,46.0,17.5,48.3
320,Don Bosco,Buurt     ,BU03635503,2110,10.66,35.55,24.41,12.8,36.73,18.48,18.25,11.37,18.48,50.24,505.0,37.5,30.4,34.8
321,Frankendael,Buurt     ,BU03635504,10,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,,,,,,
322,Tuindorp Amstelstation,Buurt     ,BU03635505,840,9.52,23.81,29.76,23.81,55.36,11.9,43.45,25.0,20.24,30.95,285.0,19.8,55.9,6.2
323,De Wetbuurt,Buurt     ,BU03635506,1835,9.54,22.34,29.43,22.62,33.24,13.62,19.62,15.8,23.43,33.79,420.0,31.2,37.5,25.8
324,Tuindorp Frankendael,Buurt     ,BU03635507,2520,6.75,32.34,26.39,22.62,44.84,15.87,28.97,16.67,22.62,42.86,364.0,30.9,39.8,19.5
325,Van der Kunbuurt,Buurt     ,BU03635508,595,14.29,36.97,22.69,12.61,74.79,15.97,58.82,,,,341.0,24.6,51.9,12.6
326,Middenmeer,Wijk      ,WK036356  ,15790,19.47,30.56,23.18,11.4,37.49,21.66,15.83,7.98,22.61,48.51,467.0,38.2,34.5,33.8
327,Linnaeusparkbuurt,Buurt     ,BU03635600,2700,11.11,32.41,25.56,13.33,30.74,20.93,9.81,6.3,18.15,51.48,622.0,44.4,29.1,40.9
328,Middenmeer Noord,Buurt     ,BU03635601,2880,13.02,26.91,27.95,13.37,28.99,17.71,11.28,9.72,15.97,51.39,631.0,47.4,32.7,35.1
329,Middenmeer Zuid,Buurt     ,BU03635602,5065,11.85,32.28,23.99,11.85,30.5,19.35,11.15,9.08,18.95,46.59,499.0,35.4,29.1,36.1
330,Sportpark Middenmeer Zuid,Buurt     ,BU03635603,300,3.33,16.67,23.33,48.33,20.0,16.67,3.33,3.33,16.67,40.0,498.0,37.3,28.1,28.8
331,Sportpark Middenmeer Noord,Buurt     ,BU03635604,250,66.0,34.0,0.0,0.0,74.0,8.0,66.0,,,,71.0,18.0,76.5,1.2
332,Park de Meer,Buurt     ,BU03635605,1610,13.35,20.19,38.2,15.22,41.3,15.84,25.47,13.66,26.09,40.37,562.0,38.4,33.3,34.5
333,Sportpark Voorland,Buurt     ,BU03635606,0,,,,,,,,,,,,,,
334,Science Park Noord,Buurt     ,BU03635607,2705,46.58,35.86,9.43,2.4,59.89,37.71,22.18,1.85,35.86,52.5,277.0,29.7,44.5,28.0
335,Science Park Zuid,Buurt     ,BU03635608,280,57.14,35.71,3.57,3.57,67.86,12.5,55.36,,,,118.0,17.3,78.9,1.9
336,Betondorp,Wijk      ,WK036357  ,3230,8.82,26.93,27.71,24.15,38.85,13.0,25.85,24.77,22.29,27.55,345.0,24.0,48.6,13.6
337,Betondorp,Buurt     ,BU03635700,3225,8.68,26.98,27.6,24.03,38.91,13.02,25.89,,,,345.0,24.0,48.6,13.6
338,Nieuwe Oosterbegraafplaats,Buurt     ,BU03635701,5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,
339,Drieburg,Buurt     ,BU03635702,0,,,,,,,,,,,,,,
340,Omval/Overamstel,Wijk      ,WK036358  ,5080,17.91,58.56,11.81,4.72,44.49,25.1,19.39,4.72,21.65,66.54,311.0,45.0,27.3,38.4
341,Weespertrekvaart,Buurt     ,BU03635801,890,16.29,65.17,11.8,2.25,48.88,23.6,25.28,8.99,19.1,59.55,218.0,48.5,24.3,45.1
342,Amstelglorie,Buurt     ,BU03635804,70,7.14,21.43,35.71,21.43,28.57,21.43,7.14,0.0,42.86,57.14,,,,
343,Overamstel,Buurt     ,BU03635805,50,10.0,40.0,30.0,0.0,10.0,10.0,0.0,,,,,,,
344,Amstelkwartier Noord,Buurt     ,BU03635806,2435,17.45,61.19,10.27,2.05,39.22,21.56,17.66,4.11,21.77,71.05,351.0,44.8,24.9,37.7
