lat,lon
52.3549932,4.8267734
52.3497202,4.786632
52.3370141,4.7813839
52.3584417,4.8276799
52.3585173,4.8268358
52.3591448,4.8262917
52.3789484,4.8007016
52.3796501,4.8232498
52.3521575,4.7994975
52.3384831,4.7778582
52.3809281,4.8219117
52.349846,4.7873822
52.338822,4.779945
52.3520492,4.7989733
52.3801633,4.8229102
52.3815999,4.8220792
52.3457037,4.8109505
52.3385486,4.7779709
52.3797575,4.8230026
52.3589481,4.8073957
52.3591985,4.8028753
52.3594441,4.8037239
52.3528682,4.8269817
52.3531616,4.826975
52.3533981,4.826975
52.3537486,4.8270217
52.3540339,4.8270284
52.3559814,4.8266344
52.3564035,4.8268513
52.357059,4.8268719
52.3558775,4.821828
52.3527313,4.8270063
52.3552545,4.826988
52.3548857,4.8262514
52.3798384,4.8203536
52.299805,4.9635049
52.355879,4.8264837
52.3458645,4.8109079
52.3459667,4.8106503
52.3455145,4.8110262
52.3456537,4.8117537
52.3457,4.8120466
52.3457333,4.8121459
52.3458281,4.8099912
52.3456723,4.8118855
52.3454805,4.8108403
52.3454433,4.8106303
52.2991788,4.9637748
52.3795455,4.8318847
52.2989152,4.9640622
52.3741582,4.8265868
52.3814982,4.8226625
52.381289,4.8239366
52.3558314,4.8260012
52.3598418,4.8068906
52.3228186,4.9725858
52.3516006,4.7968316
52.3588414,4.8041704
52.3593155,4.8049878
52.3592599,4.8041345
52.3586283,4.8012686
52.3585375,4.8031338
52.3589585,4.8256258
52.3517069,4.7972765
52.3517627,4.7975799
52.3515004,4.7983306
52.3587798,4.8053472
52.3581101,4.800716
52.3573238,4.7966229
52.3573058,4.7964942
52.359691,4.8059051
52.3546236,4.8117842
52.3539611,4.810495
52.3534605,4.8322355
52.3545223,4.8112718
52.3585727,4.8049929
52.3532766,4.8270287
52.3592729,4.8062527
52.3226274,4.9722649
52.3222479,4.9705493
52.3220262,4.9707789
52.3227226,4.9727217
52.3227462,4.9728135
52.322785,4.9729363
52.3228802,4.9717749
52.3230071,4.9723277
52.3228779,4.9726225
52.3511959,4.7946911
52.3589167,4.8026959
52.3584512,4.8023541
52.358773,4.8019976
52.3587514,4.8018196
52.3587128,4.8016624
52.3591778,4.8060841
52.3498088,4.7871398
52.3499191,4.7876354
52.350006,4.7879378
52.3500482,4.7881443
52.3618259,4.7972855
52.3618488,4.797374
52.361911,4.7977011
52.362029,4.7987204
52.3618767,4.7975348
52.3620044,4.798184
52.3596735,4.8036448
52.3561437,4.8127982
52.3630532,4.8266999
52.363181,4.8266677
52.3585106,4.8029693
52.3595768,4.8064498
52.35505,4.8269516
52.3550893,4.8260396
52.3613932,4.795114
52.3750257,4.818401
52.3567536,4.7938527
52.3162917,4.9787429
52.362123,4.7992659
52.3584599,4.8005098
52.3580125,4.7963193
52.3587762,4.8050866
52.356714,4.7936896
52.3780823,4.8196528
52.3554374,4.8215901
52.3547822,4.8111216
52.3784126,4.8132801
52.3520438,4.8013227
52.3581041,4.79498
52.3540555,4.8109104
52.3577416,4.8038401
52.3550885,4.8113712
52.3596125,4.8266758
52.359857,4.7836631
52.3607868,4.7826177
52.3228967,4.9724807
52.3229754,4.9719699
